Marker,Cell_Type,Cell_Type2,Subset_Type,Subset_Type2,Paper,Notes
VNN2,Neutrophil,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,detected in neutrophils 
FSCN1,Dendritic,,DC3,,https://www.nature.com/articles/s41422-020-0374-x,detected in dendritic cells
STMN1,T_cell,,TEM,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7936231/,detected in dendritic cells and t-cells 
HMGB2,T_cell,,TEM,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7936231/,detected in basophils and in all 
JAML,T_cell,,EpithelialgammadeltaTcells,,https://pubmed.ncbi.nlm.nih.gov/20813954/,"detected in eosinophils, monocytes, and dendritic cells, and in all "
XCL1,NK,T_cell,,NKT,https://pubmed.ncbi.nlm.nih.gov/29474842/,detected in NK-cells 
XCL2,NK,T_cell,,NKT,https://pubmed.ncbi.nlm.nih.gov/29474842/,detected in NK-cells 
CX3CR1,T_cell,,effectorTcell,,https://www.nature.com/articles/s41467-021-21619-0,detected in monocytes but also in many 
IFI30,Macrophage,,,,https://onlinelibrary.wiley.com/doi/full/10.1111/jcmm.15758,"detected in monocytes, dendritic cells, and eosinophils "
TCL1A,B_cell,,naïve,,https://www.nature.com/articles/s41467-021-23355-x,detected in B-cells and dendritic cells 
CD83,B_cell,,lightzone,,https://www.nature.com/articles/s41467-021-23355-x,detected in B-cells mostly but  in all 
AICDA,B_cell,,darkzone,,https://www.nature.com/articles/s41467-021-23355-x,detected in B-cells 
ZNF683,T_cell,NK,tissueresident,,https://www.uniprot.org/uniprotkb/Q8IZ20/entry,detected in T-cells 
FCER1G,T_cell,,FCER1G+innate_or___ILTCKs,,https://www.nature.com/articles/s41392-022-01061-4,detected in monocytes 
ITGA2B,Megakaryocytes,,,,https://ashpublications.org/blood/article/138/14/1211/476137/Single-cell-analysis-of-ploidy-and-the,Basophils 
GP9,Platelet,,,,https://ashpublications.org/blood/article/138/14/1211/476137/Single-cell-analysis-of-ploidy-and-the,detected in basophils and neutrophils 
GP1BA,Platelet,,,,https://onlinelibrary.wiley.com/doi/full/10.1002/advs.202100921,detected in basophils 
ITGB3,Megakaryocytes,Platelet,,,https://onlinelibrary.wiley.com/doi/full/10.1002/advs.202100921,detected in basophils and neutrophils 
PECAM1,Platelet,Endothelial,,,https://doi.org/10.1016/j.exphem.2004.04.002,detected in monocytes and neutrophils 
SRGN,Mast,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10100501/,detected in neutrophils but also in all 
HDC,Mast,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10100501/,detected in basophils 
ITGA2B,Megakaryocytes,,,,https://doi.org/10.1016/j.ehpc.2020.200467,detected in basophils 
GATA2,Mast,,,,https://www.jacionline.org/article/S0091-6749(22)00294-9/fulltext,detected in basophils 
MITF ,Mast,,,,https://www.jacionline.org/article/S0091-6749(22)00294-9/fulltext,"detected in monocytes, dendritic cells, basophils"
CTSG ,Mast,,,,https://www.jacionline.org/article/S0091-6749(22)00294-9/fulltext,detected in dendritic cells 
ALOX5,Mast,,,,https://www.jacionline.org/article/S0091-6749(22)00294-9/fulltext,detected mostly in basophils but also in many 
IL13,Mast,,,,https://www.jacionline.org/article/S0091-6749(22)00294-9/fulltext,not detected in immune cells 
HBG1 ,Erythrocyte,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9065680/,not detected in immune cells 
BNIP3L,Erythrocyte,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9065680/,detected highly in neutrophils but in all 
ACVR2B,Erythrocyte,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9065680/,not detected in immune cells 
